,run_name,clean_name,mech_string,dataset,optimisation,drop,target_rate,matrix,emb,mem,run_id,efficient_epochs,max pareto logged epoch,n_checkpoints,checkpoints
0,2021-05-31-YELP | MDR-0.5 | matrix-memory | DROP 40-run-06:30:27,YELP | MDR-0.5 | matrix+mem | DROP 40,matrix+mem,YELP,MDR-0.5,0.4,0.5,True,False,True,jyecfab2,,,3,"['checkpoint-epoch-007-step-80008-iw-ll_186.pth', 'checkpoint-epoch-008-step-90009-iw-ll_193.pth', 'checkpoint-epoch-009-step-100010-iw-ll_181.pth']"
1,2021-05-24-PTB | CYC-FB-0.5 | matrix-memory-run-19:12:45,PTB | CYC-FB-0.5 | matrix+mem,matrix+mem,PTB,CYC-FB-0.5,0.0,0.5,True,False,True,2qix2cow,,,3,"['checkpoint-epoch-005-step-6312-iw-ll_094.pth', 'checkpoint-epoch-010-step-11572-iw-ll_089.pth', 'checkpoint-epoch-015-step-16832-iw-ll_089.pth']"
2,2021-05-26-YELP | VAE | matrix-run-20:28:49,YELP | VAE | matrix,matrix,YELP,VAE,0.0,0.0,True,False,False,2m5hfzx1,,,4,"['checkpoint-epoch-002-step-30003-iw-ll_180.pth', 'checkpoint-epoch-003-step-40004-iw-ll_183.pth', 'checkpoint-epoch-008-step-90009-iw-ll_187.pth', 'checkpoint-epoch-009-step-100010-iw-ll_175.pth']"
3,2021-05-30-YELP | CYC-FB-0.5 | matrix-memory-run-04:07:55,YELP | CYC-FB-0.5 | matrix+mem,matrix+mem,YELP,CYC-FB-0.5,0.0,0.5,True,False,True,3g9csahz,,,2,"['checkpoint-epoch-007-step-80008-iw-ll_184.pth', 'checkpoint-epoch-008-step-90009-iw-ll_192.pth']"
4,2021-05-31-YELP | MDR-0.5 | memory-embeddings | DROP 40-run-15:27:52,YELP | MDR-0.5 | mem+emb | DROP 40,mem+emb,YELP,MDR-0.5,0.4,0.5,False,True,True,s8nwyhu2,,,2,"['checkpoint-epoch-008-step-45711-iw-ll_181.pth', 'checkpoint-epoch-009-step-50790-iw-ll_177.pth']"
5,2021-05-21-PTB | VAE | memory-run-05:50:37,PTB | VAE | mem,mem,PTB,VAE,0.0,0.0,False,False,True,b1ibcrel,,,3,"['checkpoint-epoch-006-step-2303-iw-ll_087.pth', 'checkpoint-epoch-008-step-2961-iw-ll_089.pth', 'checkpoint-epoch-009-step-3290-iw-ll_087.pth']"
6,2021-05-21-PTB | VAE | memory | DROP 40-run-05:54:09,PTB | VAE | mem | DROP 40,mem,PTB,VAE,0.4,0.0,False,False,True,27v1n9u0,,,4,"['checkpoint-epoch-009-step-3290-iw-ll_088.pth', 'checkpoint-epoch-015-step-5264-iw-ll_086.pth', 'checkpoint-epoch-017-step-5922-iw-ll_086.pth', 'checkpoint-epoch-019-step-6580-iw-ll_089.pth']"
7,2021-05-21-PTB | VAE | memory-embeddings-run-06:42:33,PTB | VAE | mem+emb,mem+emb,PTB,VAE,0.0,0.0,False,True,True,evvxxxs9,,,2,"['checkpoint-epoch-006-step-2303-iw-ll_086.pth', 'checkpoint-epoch-010-step-3619-iw-ll_088.pth']"
8,2021-05-21-PTB | VAE | memory-embeddings | DROP 40-run-14:35:15,PTB | VAE | mem+emb | DROP 40,mem+emb,PTB,VAE,0.4,0.0,False,True,True,12iqm2wx,,,3,"['checkpoint-epoch-009-step-3290-iw-ll_088.pth', 'checkpoint-epoch-015-step-5264-iw-ll_086.pth', 'checkpoint-epoch-017-step-5922-iw-ll_086.pth']"
9,2021-05-25-PTB | MDR-0.5 | matrix-memory-run-07:49:50,PTB | MDR-0.5 | matrix+mem,matrix+mem,PTB,MDR-0.5,0.0,0.5,True,False,True,10wkq2tq,,,4,"['checkpoint-epoch-010-step-11572-iw-ll_089.pth', 'checkpoint-epoch-013-step-14728-iw-ll_092.pth', 'checkpoint-epoch-015-step-16832-iw-ll_086.pth', 'checkpoint-epoch-019-step-21040-iw-ll_091.pth']"
10,2021-05-29-YELP | CYC-FB-0.5 | matrix-run-07:06:17,YELP | CYC-FB-0.5 | matrix,matrix,YELP,CYC-FB-0.5,0.0,0.5,True,False,False,270ha64g,,,2,"['checkpoint-epoch-008-step-90009-iw-ll_192.pth', 'checkpoint-epoch-009-step-100010-iw-ll_181.pth']"
11,2021-05-31-YELP | MDR-0.5 | matrix | DROP 40-run-01:27:10,YELP | MDR-0.5 | matrix | DROP 40,matrix,YELP,MDR-0.5,0.4,0.5,True,False,False,2nnp1x8d,,,2,"['checkpoint-epoch-008-step-90009-iw-ll_194.pth', 'checkpoint-epoch-009-step-100010-iw-ll_183.pth']"
